Serial No.,Timestamp (yyyy-MM-dd HH:mm:ss.SSS),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,2026-02-19 12:47:00.830,2.1390002,7.01595,7.2829504,0.0,0.0,0.0
2,2026-02-19 12:47:00.838,2.331,6.906,7.2780004,0.0,0.0,0.0
3,2026-02-19 12:47:00.852,2.36205,6.9870005,6.9550505,0.0,0.0,0.0
4,2026-02-19 12:47:00.853,2.19405,7.1710505,6.6049504,0.0,0.0,0.0
5,2026-02-19 12:47:00.853,2.19405,7.1710505,6.6049504,0.00605,0.0088,0.1467125
6,2026-02-19 12:47:00.914,1.9950001,7.2169504,6.2749505,0.00605,0.0088,0.1467125
7,2026-02-19 12:47:00.915,1.8880501,7.1520004,5.9419503,0.00605,0.0088,0.1467125
8,2026-02-19 12:47:00.915,1.8829501,7.0300503,5.8440003,0.00605,0.0088,0.1467125
9,2026-02-19 12:47:00.916,1.713,6.78105,6.2389503,0.00605,0.0088,0.1467125
10,2026-02-19 12:47:00.917,1.473,6.6829505,6.9979506,0.00605,0.0088,0.1467125
11,2026-02-19 12:47:00.917,1.26795,6.6589503,7.80495,0.00605,0.0088,0.1467125
12,2026-02-19 12:47:00.932,1.0570501,6.23295,8.08005,0.00605,0.0088,0.1467125
13,2026-02-19 12:47:00.932,0.78900003,5.5150504,7.8090005,0.00605,0.0088,0.1467125
14,2026-02-19 12:47:00.933,0.78900003,5.5150504,7.8090005,-0.68255,0.243925,0.2275625
15,2026-02-19 12:47:00.997,1.2600001,5.8500004,8.532001,-0.68255,0.243925,0.2275625
16,2026-02-19 12:47:00.999,1.7560501,6.3739505,8.908051,-0.68255,0.243925,0.2275625
17,2026-02-19 12:47:01.001,1.9789501,6.4459505,9.01095,-0.68255,0.243925,0.2275625
18,2026-02-19 12:47:01.002,1.7629501,5.9359503,8.0460005,-0.68255,0.243925,0.2275625
19,2026-02-19 12:47:01.004,1.5790501,5.6610003,7.20795,-0.68255,0.243925,0.2275625
20,2026-02-19 12:47:01.006,1.7680501,5.98395,6.52605,-0.68255,0.243925,0.2275625
21,2026-02-19 12:47:01.018,2.05995,6.28095,5.9370003,-0.68255,0.243925,0.2275625
22,2026-02-19 12:47:01.019,2.1370502,6.216,5.71005,-0.68255,0.243925,0.2275625
23,2026-02-19 12:47:01.020,2.1370502,6.216,5.71005,0.1464375,0.3227125,-0.0097624995
24,2026-02-19 12:47:01.031,2.1649501,6.0340505,5.77395,0.1464375,0.3227125,-0.0097624995
25,2026-02-19 12:47:01.074,2.1679502,5.8639503,5.9539504,0.1464375,0.3227125,-0.0097624995
26,2026-02-19 12:47:01.075,2.0029502,5.88105,6.3130503,0.1464375,0.3227125,-0.0097624995
27,2026-02-19 12:47:01.076,1.7010001,6.096,6.4810505,0.1464375,0.3227125,-0.0097624995
28,2026-02-19 12:47:01.077,1.27695,6.4009504,6.3700504,0.1464375,0.3227125,-0.0097624995
29,2026-02-19 12:47:01.078,0.86505,6.5989504,6.1380005,0.1464375,0.3227125,-0.0097624995
30,2026-02-19 12:47:01.097,0.46500003,6.7519503,5.98995,0.1464375,0.3227125,-0.0097624995
31,2026-02-19 12:47:01.098,0.24000001,6.89895,6.018,0.1464375,0.3227125,-0.0097624995
32,2026-02-19 12:47:01.099,0.24000001,6.89895,6.018,-0.002475,0.292875,-0.1885125
33,2026-02-19 12:47:01.132,0.29505002,6.98505,6.2119503,-0.002475,0.292875,-0.1885125
34,2026-02-19 12:47:01.133,0.39405003,6.918,6.3510003,-0.002475,0.292875,-0.1885125
35,2026-02-19 12:47:01.133,0.52500004,6.6379504,6.40395,-0.002475,0.292875,-0.1885125
36,2026-02-19 12:47:01.156,0.78105,6.4240503,6.6600003,-0.002475,0.292875,-0.1885125
37,2026-02-19 12:47:01.158,1.047,6.30705,7.0020003,-0.002475,0.292875,-0.1885125
38,2026-02-19 12:47:01.159,1.212,6.14895,7.2730503,-0.002475,0.292875,-0.1885125
39,2026-02-19 12:47:01.177,1.26795,5.9929504,7.4599504,-0.002475,0.292875,-0.1885125
40,2026-02-19 12:47:01.179,1.33905,5.826,7.5409503,-0.002475,0.292875,-0.1885125
41,2026-02-19 12:47:01.180,1.33905,5.826,7.5409503,-0.3004375,0.1918125,0.33495
42,2026-02-19 12:47:01.233,1.4610001,5.742,7.5360003,-0.3004375,0.1918125,0.33495
43,2026-02-19 12:47:01.234,1.5310501,5.73705,7.524,-0.3004375,0.1918125,0.33495
44,2026-02-19 12:47:01.235,1.54005,5.7780004,7.6320004,-0.3004375,0.1918125,0.33495
45,2026-02-19 12:47:01.236,1.6510501,5.80905,7.7299504,-0.3004375,0.1918125,0.33495
46,2026-02-19 12:47:01.237,1.7989501,5.8380003,7.84005,-0.3004375,0.1918125,0.33495
47,2026-02-19 12:47:01.237,1.9159501,5.8570504,8.10105,-0.3004375,0.1918125,0.33495
48,2026-02-19 12:47:01.258,1.96905,5.8120503,8.311951,-0.3004375,0.1918125,0.33495
49,2026-02-19 12:47:01.259,1.8610501,5.8000503,8.47305,-0.3004375,0.1918125,0.33495
50,2026-02-19 12:47:01.259,1.8610501,5.8000503,8.47305,-0.22165,0.1843875,0.3839
