ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
L,1,1771130095952,0.849,8.24205,9.897,-28.28263,44.51166,11.78574
L,2,1771130095965,1.50495,8.16,8.76495,-19.80572,22.31885,7.45275
L,3,1771130095970,1.43805,7.83495,7.69905,-17.37136,9.14655,5.75106
L,4,1771130095975,1.43805,7.83495,7.69905,-15.17335,-3.84455,3.61608
L,5,1771130095985,1.476,7.34895,7.91505,-12.61295,-28.66078,0.56723
L,6,1771130095992,1.21995,6.96105,7.96305,-8.95748,-40.12352,-1.14233
L,7,1771130095999,1.15995,6.45105,8.38605,-6.08983,-45.06313,-2.2374
L,8,1771130096010,1.011,6.37395,8.41005,-2.06408,-43.59779,-4.30936
L,9,1771130096018,0.525,6.66105,8.022,3.30095,-24.27264,2.21377
L,10,1771130096025,0.525,6.66105,8.022,4.64024,-11.83301,4.15967
L,11,1771130096031,0.91095,6.09405,7.95795,5.43594,10.42282,4.71115
L,12,1771130096044,0.62595,6.29505,7.326,4.45904,30.36246,9.58773
L,13,1771130096051,0.93495,6.084,7.40505,7.57092,36.58622,10.87187
L,14,1771130096057,0.837,5.91405,7.80195,11.89604,44.08624,11.17124
L,15,1771130096065,0.837,5.91405,7.80195,17.68649,44.87406,12.63658
L,16,1771130096077,1.11405,5.61795,7.97895,28.23536,39.81627,9.40654
L,17,1771130096086,1.062,5.721,7.57005,39.27267,34.93968,7.69697
L,18,1771130096091,0.849,5.586,6.80595,43.0542,27.19544,7.02733
L,19,1771130096101,0.67605,5.733,5.583,47.68656,12.92808,3.19066
L,20,1771130096112,0.75,6.06495,5.202,47.14297,-6.22375,0.81145
L,21,1771130096118,1.14105,5.766,4.30695,46.16608,-18.17494,-3.63971
L,22,1771130096125,1.14105,5.766,4.30695,46.16608,-18.17494,-3.63971
L,23,1771130096133,1.31295,5.85,3.969,40.55682,-24.08356,-9.06777
L,24,1771130096142,1.05195,5.706,4.338,37.57099,-25.30468,-12.78627
L,25,1771130096147,1.05195,5.706,4.338,36.64925,-26.77002,-13.15654
L,26,1771130096158,0.55605,5.61795,4.31805,34.64031,-21.83041,-10.40706
L,27,1771130096165,0.504,5.649,4.26795,31.47329,-15.06306,-8.09088
L,28,1771130096176,0.78405,5.81205,3.91395,27.32149,-2.93068,-6.68857
L,29,1771130096183,0.59205,5.883,3.45405,22.99638,2.67858,-5.34928
L,30,1771130096191,0.75795,6.123,4.03605,20.43597,14.02314,-4.79781
L,31,1771130096199,0.75795,6.123,4.03605,20.01055,15.97693,-5.16808
L,32,1771130096207,0.39795,5.934,4.89105,22.08251,14.93701,-4.79781
L,33,1771130096214,0.03705,5.79195,4.97205,25.86403,11.09246,-4.12816
L,34,1771130096223,-0.31695,5.86695,5.26905,27.51057,5.12081,-3.15127
L,35,1771130096231,-0.55605,5.90505,4.67295,28.11719,-5.00264,-0.34664
L,36,1771130096242,-0.441,6.41205,4.338,25.80101,-16.5284,2.63919
L,37,1771130096250,-0.216,7.02105,3.65805,18.72641,-21.16076,4.34875
L,38,1771130096258,-0.216,7.02105,3.65805,12.38448,-20.73534,5.93226
L,39,1771130096263,0.12105,7.48305,3.37005,5.86136,-19.69543,7.27155
L,40,1771130096275,1.18095,7.85595,3.73905,-4.19906,-14.81884,5.38079
L,41,1771130096281,2.15295,8.35905,4.302,-13.47167,-7.98846,1.78834
L,42,1771130096290,2.59395,8.292,4.56495,-22.18493,-4.08877,-3.82879
L,43,1771130096298,2.59395,8.292,4.56495,-25.35983,-1.64654,-7.05884
L,44,1771130096305,2.67495,8.59605,5.18505,-27.67601,3.59245,-11.62818
L,45,1771130096316,2.43105,8.448,5.82,-26.94334,4.69539,-14.07041
L,46,1771130096322,2.40195,8.316,6.10695,-26.21067,4.51419,-14.49583
L,47,1771130096331,2.96505,8.11995,6.39,-22.31098,7.86241,-15.71695
L,48,1771130096339,2.96505,8.11995,6.39,-20.35719,8.59508,-17.18229
L,49,1771130096349,3.372,8.067,6.47595,-17.00109,8.04361,-19.67967
L,50,1771130096354,3.49695,7.995,6.39705,-16.15025,5.79045,-20.28629
L,51,1771130096365,3.705,7.923,6.05205,-13.71589,0.97689,-23.51634
L,52,1771130096374,3.47505,8.04795,5.71395,-11.51788,-9.9974,-26.08462
L,53,1771130096381,3.20205,7.82805,5.01,-12.25055,-17.74164,-28.03053
L,54,1771130096390,3.20205,7.82805,5.01,-12.98322,-23.05153,-27.91236
L,55,1771130096399,2.50305,7.899,4.72995,-11.69908,-28.96803,-24.43808
L,56,1771130096410,2.517,7.818,4.04595,-14.44068,-36.27897,-23.64239
L,57,1771130096414,2.328,7.938,3.73395,-13.70802,-37.31889,-22.72852
L,58,1771130096423,2.22795,7.77495,3.93495,-13.40864,-49.20705,-25.53315
L,59,1771130096430,2.22795,7.77495,3.93495,-12.9202,-54.76116,-25.89554
L,60,1771130096438,1.833,7.78395,3.45405,-13.47167,-63.66349,-26.51004
L,61,1771130096448,2.043,8.02095,2.91495,-17.48954,-73.72392,-32.05627
L,62,1771130096458,2.15805,7.998,3.483,-20.11297,-82.80744,-38.5794
L,63,1771130096465,2.007,7.49895,3.399,-22.85457,-85.97446,-41.80944
L,64,1771130096472,1.509,7.29795,3.71805,-29.81099,-95.91672,-45.52794
L,65,1771130096482,1.509,7.29795,3.71805,-29.14135,-101.21873,-46.81208
L,66,1771130096490,0.99495,6.693,5.121,-27.12454,-115.24186,-47.05631
L,67,1771130096499,0.348,6.40305,6.07605,-19.32515,-128.16995,-44.4959
L,68,1771130096507,-0.123,5.97405,7.101,-14.07829,-132.92836,-42.1167
L,69,1771130096514,-0.228,5.95995,7.09605,-4.62449,-132.55809,-36.93286
L,70,1771130096522,-0.228,5.95995,7.09605,0.49632,-133.59799,-32.97014
L,71,1771130096532,-0.56805,6.20205,7.086,5.73531,-128.23296,-22.4843
L,72,1771130096542,-0.13695,6.429,4.15995,-4.80568,-107.13522,-7.24004
L,73,1771130096546,-0.13695,6.429,4.15995,-4.80568,-107.13522,-7.24004
L,74,1771130096555,0.228,6.204,3.978,-15.35455,-92.62364,0.01576
L,75,1771130096564,0.93495,6.24195,3.50895,-28.58988,-78.11205,0.6854
L,76,1771130096574,1.2,6.34095,3.579,-41.94337,-65.91665,-1.74895
L,77,1771130096581,1.2,6.34095,3.579,-44.9292,-58.90508,-3.58457
L,78,1771130096589,1.12395,6.26595,4.52895,-46.63876,-53.35884,-5.46745
L,79,1771130096597,0.75,6.13005,5.391,-43.52689,-42.0773,-8.5163
L,80,1771130096606,0.40095,5.94795,5.35005,-41.88035,-36.40502,-8.09088
L,81,1771130096613,0.12795,5.71605,5.98995,-34.32518,-37.56311,-4.86083
L,82,1771130096623,0.12795,5.71605,5.98995,-32.12717,-40.00535,-2.8519
L,83,1771130096632,0.39795,5.56005,5.67795,-31.51268,-40.43077,-1.07931
L,84,1771130096638,1.13295,5.943,5.82705,-29.87402,-40.18655,-0.96114
L,85,1771130096648,2.23995,6.18705,6.10695,-28.8341,-46.28425,-5.83772
L,86,1771130096654,2.58705,6.42705,6.16005,-26.94334,-44.51166,-13.70014
L,87,1771130096663,2.58705,6.42705,6.16005,-26.27369,-45.12616,-18.39553
L,88,1771130096673,2.36205,6.78795,5.69505,-29.07833,-51.34203,-24.73745
L,89,1771130096678,1.593,6.97305,5.556,-29.14135,-52.38195,-26.32096
L,90,1771130096689,1.011,7.143,5.32905,-32.00113,-55.85622,-26.07674
L,91,1771130096697,0.93705,7.49505,4.536,-42.30577,-61.15823,-23.15394
L,92,1771130096707,1.39395,7.54305,5.73105,-47.91503,-58.47966,-20.53051
L,93,1771130096714,1.39395,7.54305,5.73105,-49.081,-52.19287,-20.41234
L,94,1771130096723,1.86105,7.926,7.17705,-48.71072,-41.16344,-19.1282
L,95,1771130096729,1.449,8.39295,7.76895,-47.91503,-39.45387,-15.5909
L,96,1771130096737,1.50705,8.51895,7.965,-48.95495,-39.76112,-10.65129
L,97,1771130096748,1.62705,8.694,9.00405,-46.57574,-43.59779,-6.20012
L,98,1771130096755,1.62705,8.694,9.00405,-45.41765,-45.30735,-4.74266
L,99,1771130096761,2.23695,8.94105,9.27495,-41.33675,-45.42553,-3.21429
L,100,1771130096771,2.69895,8.89995,9.531,-35.2942,-46.52847,-2.8519
L,101,1771130096782,2.95995,8.79195,10.33995,-29.99219,-49.08887,-3.21429
L,102,1771130096787,3.13995,8.90295,11.44395,-12.25055,-51.09781,-5.53048
L,103,1771130096803,3.195,9.096,10.869,10.864,-41.16344,-9.67439
L,104,1771130096813,2.62005,9.549,8.80995,10.61977,-30.97696,-6.81462
L,105,1771130096821,2.08395,9.89895,6.89505,3.9706,-12.01421,-4.86083
L,106,1771130096829,2.25195,10.02795,6.67005,-0.84296,-1.82774,-3.52154
L,107,1771130096840,2.01705,10.29795,7.716,-4.99476,17.37924,-2.72585
L,108,1771130096846,2.01705,10.29795,7.716,-6.6413,24.99743,-4.00999
L,109,1771130096855,1.24395,10.87095,7.98405,-4.56934,41.27373,-6.01892
L,110,1771130096863,-0.25695,11.40495,7.81695,-5.78258,51.15296,-2.66282
L,111,1771130096872,-1.39395,11.88795,6.234,-17.73376,44.93708,6.48373
L,112,1771130096882,-1.79595,11.56695,5.38605,-27.25059,37.61826,11.65969
L,113,1771130096889,-1.57605,11.58705,5.832,-48.71072,11.82513,21.60194
L,114,1771130096896,-1.57605,11.58705,5.832,-56.27377,0.1812,24.46959
L,115,1771130096906,0.28305,11.517,7.66605,-62.85992,-19.93965,21.96434
L,116,1771130096914,1.617,10.878,9.56895,-56.94341,-27.62086,19.15971
L,117,1771130096920,2.57205,9.60195,9.57405,-55.11568,-27.37664,16.48113
L,118,1771130096932,2.69505,8.40195,9.70305,-49.86881,-23.53997,15.32304
L,119,1771130096938,2.69505,8.40195,9.70305,-43.03844,-23.84722,16.11086
L,120,1771130096947,2.08605,6.99705,9.33195,-30.48064,-30.37034,20.9323
L,121,1771130096955,1.95495,5.89305,9.39195,-11.14761,-38.16973,22.94123
L,122,1771130096964,1.64295,5.139,8.37405,-2.00106,-38.65818,24.58777
L,123,1771130096973,2.29005,4.88295,5.841,9.39866,-35.55418,25.74586
L,124,1771130096981,2.568,4.55205,3.14805,0.00788,-25.49376,27.2112
L,125,1771130096987,2.568,4.55205,3.14805,-8.04361,-13.54257,27.94387
L,126,1771130096997,2.817,4.20495,2.415,-22.85457,8.35086,29.89765
L,127,1771130097005,2.259,4.04505,2.76195,-33.52949,14.07829,33.06468
L,128,1771130097010,2.493,3.78795,4.23495,-32.30837,15.4806,32.63926
L,129,1771130097021,2.98695,4.179,5.343,-26.14764,14.56674,28.97591
L,130,1771130097030,2.74695,4.30995,5.81505,-11.21064,8.71325,27.14817
L,131,1771130097038,2.74695,4.30995,5.81505,-3.95484,3.34822,25.87191
L,132,1771130097045,2.77605,4.404,5.094,7.44487,-7.93332,20.56202
L,133,1771130097055,3.063,4.81995,3.42495,9.46168,-16.03995,14.10192
L,134,1771130097069,3.15705,4.88505,3.16395,10.67492,-19.20698,10.1392
L,135,1771130097075,2.59395,4.81995,3.46905,7.01945,-20.60929,4.77417
L,136,1771130097079,2.59395,4.81995,3.46905,7.01945,-20.60929,4.77417
L,137,1771130097088,2.48895,4.87995,3.70605,6.7122,-18.04889,0.92962
L,138,1771130097094,2.292,5.02605,4.58895,8.91021,-19.75845,-1.63078
L,139,1771130097101,2.02395,4.983,4.69395,11.40759,-18.17494,-2.72585
L,140,1771130097114,1.76295,5.124,4.79505,13.96799,-13.90497,-3.63971
L,141,1771130097122,1.32705,5.01705,3.92595,10.91914,-6.16073,-2.11923
L,142,1771130097130,1.21695,4.983,3.612,2.81251,0.96901,3.73425
L,143,1771130097135,1.21695,4.983,3.612,0.4333,4.81356,5.86924
L,144,1771130097146,1.698,5.076,5.26395,-0.90599,6.03468,7.3976
L,145,1771130097152,2.36595,4.971,6.40395,3.85242,10.54887,7.45275
L,146,1771130097161,2.65905,5.19405,7.149,8.84718,8.28783,5.68804
L,147,1771130097169,2.65905,5.19405,7.149,12.26631,8.04361,4.64812
L,148,1771130097179,2.59605,5.53395,6.696,15.98481,6.39707,4.28572
L,149,1771130097186,1.92405,5.87595,6.67005,18.66338,1.64654,7.64182
L,150,1771130097197,1.90905,6.216,7.101,24.09144,-0.18908,10.44645
L,151,1771130097202,1.76595,6.843,7.251,27.02212,0.78782,12.69961
L,152,1771130097213,1.833,7.698,6.741,30.43337,4.69539,15.63029
L,153,1771130097218,1.833,7.698,6.741,29.63767,5.72743,16.66233
