ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
return zero,1,1771573879683,-3.07538,3.9015,10.65105,-17.35999,9.73437,-12.12312
return zero,2,1771573879691,-3.07538,3.9015,10.65105,-5.635,-37.7956,-1.58812
return zero,3,1771573879696,-3.64666,4.11565,8.38266,-4.97,-60.68558,1.59687
return zero,4,1771573879702,-3.64666,4.11565,8.38266,-7.31499,-81.33556,3.80187
return zero,5,1771573879706,-3.64666,4.11565,8.38266,-11.58499,-98.76556,5.58687
return zero,6,1771573879716,-3.10289,4.98485,7.58345,-21.80498,-121.34054,8.42187
return zero,7,1771573879724,-3.10289,4.98485,7.58345,-26.59998,-126.73053,9.29687
return zero,8,1771573879733,-3.10289,4.98485,7.58345,-34.43998,-127.46552,9.50687
return zero,9,1771573879745,-1.4668,4.94297,8.62254,-40.87997,-111.75054,8.00187
return zero,10,1771573879752,-1.4668,4.94297,8.62254,-46.44497,-77.55556,2.36687
return zero,11,1771573879760,-0.19083,4.31905,8.83789,-49.24496,-58.20058,0.51187
return zero,12,1771573879768,-0.19083,4.31905,8.83789,-58.51995,-28.4156,-4.94812
return zero,13,1771573879775,-0.19083,4.31905,8.83789,-63.83995,-14.24061,-8.79812
return zero,14,1771573879782,1.13719,2.85165,8.38146,-73.46495,1.82437,-15.27311
return zero,15,1771573879790,1.13719,2.85165,8.38146,-82.52994,-4.09062,-15.23811
return zero,16,1771573879799,0.15194,2.58365,7.70908,-92.36493,0.66937,-8.55312
return zero,17,1771573879812,0.15194,2.58365,7.70908,-84.90993,7.84437,-0.29312
return zero,18,1771573879821,-1.21974,3.86381,10.21616,-64.60995,-3.67062,5.48187
return zero,19,1771573879828,-1.21974,3.86381,10.21616,-34.82497,-27.2606,10.73187
return zero,20,1771573879834,-1.21974,3.86381,10.21616,-18.26999,-40.03559,13.14686
return zero,21,1771573879842,-1.63131,4.5003,12.61496,12.98499,-59.67058,17.34686
return zero,22,1771573879849,-1.63131,4.5003,12.61496,25.61998,-62.47058,18.81686
return zero,23,1771573879857,-1.63131,4.5003,12.61496,35.13997,-59.56558,19.27186
return zero,24,1771573879870,-0.08614,4.02293,10.85205,39.44497,-28.5556,15.56186
return zero,25,1771573879878,-0.08614,4.02293,10.85205,32.40997,-20.36561,13.74187
return zero,26,1771573879886,1.03789,3.30509,7.49133,11.19999,0.98437,11.67687
return zero,27,1771573879894,1.03789,3.30509,7.49133,-11.40999,18.44936,11.81687
return zero,28,1771573879903,0.10887,3.14178,6.59402,-21.87498,23.76936,12.55187
return zero,29,1771573879911,0.10887,3.14178,6.59402,-38.95497,24.15436,15.03686
return zero,30,1771573879919,0.10887,3.14178,6.59402,-45.21997,19.35936,16.71686
return zero,31,1771573879927,-1.15813,3.43908,8.08714,-55.15996,8.26437,21.12686
return zero,32,1771573879932,-1.15813,3.43908,8.08714,-59.32495,3.78437,23.08686
return zero,33,1771573879944,-1.19462,3.78006,8.60579,-65.55495,-0.45062,24.17186
return zero,34,1771573879952,-1.19462,3.78006,8.60579,-67.65495,-4.30062,22.31686
return zero,35,1771573879960,-0.61077,3.67717,9.20638,-64.78495,-12.10562,19.30686
return zero,36,1771573879968,-0.61077,3.67717,9.20638,-61.24995,-18.40561,17.76686
return zero,37,1771573879978,-0.61077,3.67717,9.20638,-50.60996,-33.4906,13.88186
return zero,38,1771573879986,-0.31226,3.23091,10.68993,-38.46497,-45.04059,8.84187
return zero,39,1771573879994,-0.31226,3.23091,10.68993,-32.37498,-49.73059,6.56687
return zero,40,1771573879999,-0.31226,3.23091,10.68993,-26.49498,-53.47559,4.64187
return zero,41,1771573880010,-0.25244,3.1322,11.26361,-16.90499,-59.53058,2.61187
return zero,42,1771573880017,-0.25244,3.1322,11.26361,-12.10999,-62.05058,3.59187
return zero,43,1771573880025,-0.69332,3.24586,10.05524,-11.75999,-59.56558,4.81687
return zero,44,1771573880035,-0.69332,3.24586,10.05524,-13.99999,-48.47059,6.88187
return zero,45,1771573880043,-0.28116,2.9683,8.75055,-17.28999,-40.38559,5.62187
return zero,46,1771573880050,-0.28116,2.9683,8.75055,-18.68999,-39.0556,3.76687
return zero,47,1771573880060,-0.28116,2.9683,8.75055,-20.05499,-41.36559,-0.29312
return zero,48,1771573880068,0.13878,2.47298,9.48874,-18.12999,-48.96059,-1.93812
return zero,49,1771573880075,0.13878,2.47298,9.48874,-15.95999,-53.05558,-1.86812
return zero,50,1771573880085,0.47976,2.27318,10.16531,-10.67499,-56.94058,-1.79812
return zero,51,1771573880093,0.47976,2.27318,10.16531,-5.495,-51.58559,-2.53312
return zero,52,1771573880100,0.47976,2.27318,10.16531,-3.255,-46.12559,-3.23312
return zero,53,1771573880107,1.61396,2.63031,9.65683,-0.98,-39.0906,-3.86312
return zero,54,1771573880114,1.61396,2.63031,9.65683,3.815,-22.64061,-5.08812
return zero,55,1771573880125,1.02233,2.65065,9.50848,9.23999,-9.72562,-5.75312
return zero,56,1771573880135,1.02233,2.65065,9.50848,15.60999,-3.25062,-7.22312
return zero,57,1771573880143,1.02233,2.65065,9.50848,18.51499,-0.80062,-8.30812
return zero,58,1771573880149,0.56411,2.799,9.08974,22.67998,5.98937,-10.40812
