ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
1,1,1770626770742,-2.7653,5.85622,9.16979,-30.205,-8.505,2.485
1,2,1770626770757,-2.23858,6.29436,9.56962,-0.49,-22.435,6.58
1,3,1770626770767,-2.23858,6.29436,9.56962,12.25,-23.765,8.05
1,4,1770626770783,-1.83875,6.73489,8.12831,25.655,-18.13,10.15
1,5,1770626770799,-1.22823,6.53856,5.66468,24.43,-17.605,9.345
1,6,1770626770818,-1.99198,6.53856,5.72214,12.81,-25.06,5.915
1,7,1770626770833,-1.99198,6.53856,5.72214,4.375,-29.785,5.635
1,8,1770626770850,-2.48039,6.28239,7.18979,2.765,-26.985,7.525
1,9,1770626770866,-2.20985,6.32548,7.69736,9.66,-16.415,11.13
1,10,1770626770883,-1.68073,6.49068,6.89051,15.05,-16.835,13.65
1,11,1770626770899,-1.06542,6.53378,5.97353,14.77,-17.605,14.07
1,12,1770626770918,-1.13006,6.57927,5.8203,7.56,-23.38,12.74
1,13,1770626770936,-1.61609,5.9855,7.08444,2.905,-27.615,12.53
1,14,1770626770959,-1.61609,5.9855,7.08444,2.415,-24.745,13.475
1,15,1770626770974,-1.74298,6.24408,7.96551,-3.185,-6.02,14.7
1,16,1770626770986,-1.74298,6.24408,7.96551,-5.88,-0.77,14.28
1,17,1770626771002,-1.61609,6.16986,7.56807,-11.585,-1.085,13.02
1,18,1770626771021,-1.47483,6.53138,8.25521,-10.535,-15.47,14
1,19,1770626771045,-1.41976,6.59842,8.50181,4.095,-15.12,15.085
1,20,1770626771064,-1.13485,6.91685,7.66863,10.36,-5.67,14.63
1,21,1770626771081,-1.09894,7.46991,6.15789,8.015,-4.445,14.14
1,22,1770626771098,-1.15879,7.23288,5.87537,-0.28,-17.395,13.72
1,23,1770626771113,-1.15879,7.23288,5.87537,-5.04,-32.305,14.455
1,24,1770626771131,-1.15401,6.69898,7.41724,-2.765,-37.065,15.68
1,25,1770626771150,-0.89064,6.6894,8.17141,-2.87,-15.925,16.52
1,26,1770626771166,-0.62968,6.30633,6.88572,-7.91,4.585,17.57
1,27,1770626771180,-0.22027,5.93283,6.7325,-11.095,15.05,17.78
1,28,1770626771196,-0.03591,6.36139,7.35978,-14.98,28.945,15.505
1,29,1770626771213,-0.03591,6.36139,7.35978,-18.445,32.865,11.06
1,30,1770626771230,-0.38547,6.31112,7.88889,-18.305,23.695,5.81
1,31,1770626771246,-1.2402,5.54018,8.99741,-15.05,9.87,1.225
1,32,1770626771265,-1.54187,5.85861,9.41161,-10.185,16.31,1.365
1,33,1770626771281,-1.10373,6.87854,7.55371,-9.555,28.525,3.22
1,34,1770626771297,-0.17238,7.10599,5.66229,-11.725,25.97,3.255
1,35,1770626771314,-0.47884,5.9065,6.70137,-10.325,4.095,-1.505
1,36,1770626771330,-0.47884,5.9065,6.70137,-3.01,-17.465,-1.855
1,37,1770626771347,-2.26252,6.20338,9.43794,2.345,-13.3,3.08
1,38,1770626771363,-2.03507,7.0605,8.73884,2.73,0.07,6.615
1,39,1770626771379,-1.31681,6.22253,6.41885,-4.445,-8.435,7.595
1,40,1770626771396,-1.04627,5.71257,7.00783,-16.52,-25.725,8.12
1,41,1770626771413,-1.53708,6.359,8.27915,-18.41,-27.475,13.09
1,42,1770626771430,-1.53708,6.359,8.27915,-12.075,-19.705,19.25
1,43,1770626771449,-0.86191,6.28957,8.14029,-1.47,-7.14,25.13
1,44,1770626771465,-0.18435,6.11719,7.44597,1.225,-3.01,24.465
1,45,1770626771480,0.46448,6.35661,7.16585,-1.435,11.935,20.825
1,46,1770626771496,0.56982,6.38773,6.58405,-5.6,20.755,16.17
1,47,1770626771514,0.50039,5.97832,7.15627,-6.475,11.795,9.485
1,48,1770626771540,0.45011,5.48272,8.15465,-0.735,-4.795,-2.73
1,49,1770626771552,-0.68474,6.13155,8.36055,5.145,1.365,-5.25
1,50,1770626771569,-0.68474,6.13155,8.36055,14.42,16.205,-1.085
1,51,1770626771587,-1.14203,6.33506,7.66623,25.305,33.32,6.37
1,52,1770626771605,-0.03591,6.36858,6.37336,29.4,23.345,5.25
1,53,1770626771622,-0.13886,5.52342,5.48512,20.51,-7.42,-0.315
1,54,1770626771639,-1.64003,5.50427,7.00783,-6.055,-33.215,-4.935
1,55,1770626771656,-0.80445,5.82509,8.88728,-9.1,-7.595,-6.3
1,56,1770626771672,-0.03591,5.34386,8.51378,-4.585,12.565,-7.735
1,57,1770626771688,-0.03591,5.34386,8.51378,2.94,22.645,-8.645
1,58,1770626771705,0.19154,5.37738,7.18261,7.91,17.08,-8.645
1,59,1770626771722,-0.46448,5.64074,6.42364,7.525,7.91,-7.98
1,60,1770626771739,-0.57221,5.87298,6.51462,0.175,2.52,-8.015
1,61,1770626771756,-0.5363,5.82749,7.56568,-8.75,6.09,-9.94
1,62,1770626771771,-0.70868,6.15549,7.8027,-13.23,15.435,-10.01
1,63,1770626771787,-0.70868,6.15549,7.8027,-13.79,19.635,-8.085
1,64,1770626771806,-0.61292,6.36139,7.39329,-10.22,14.14,-5.355
1,65,1770626771823,-0.36152,6.02621,7.42681,-3.29,-6.02,-1.365
1,66,1770626771839,-0.09816,6.58405,8.12353,0.91,-14.245,-0.735
1,67,1770626771854,0.00479,7.00065,8.25281,3.185,-17.675,-1.505
1,68,1770626771871,0.58897,6.88333,7.38611,-1.96,-22.19,-3.57
1,69,1770626771887,0.58897,6.88333,7.38611,-12.11,-30.275,-8.75
1,70,1770626771904,0.62728,6.22971,7.84101,-17.29,-35.84,-13.825
1,71,1770626771923,0.14126,6.18183,9.38288,-15.645,-29.12,-16.905
1,72,1770626771935,-0.09098,6.2345,10.00537,-9.835,-11.62,-19.39
1,73,1770626771949,-0.39983,6.28478,8.94953,-6.055,3.29,-20.755
1,74,1770626771965,-0.02634,6.50983,7.76679,-7.245,1.435,-21.315
1,75,1770626771982,-0.02634,6.50983,7.76679,-12.81,-10.85,-25.795
1,76,1770626772003,0.34237,6.20098,7.762,-21.595,-17.815,-32.34
1,77,1770626772015,-0.21548,5.71735,8.64786,-23.8,-12.95,-32.235
1,78,1770626772033,-2.57137,5.14035,9.95749,-18.095,17.29,-9.52
1,79,1770626772052,-0.14126,5.54018,8.61913,-5.95,17.325,-12.88
1,80,1770626772066,-0.68953,6.02142,7.42203,7.63,21.49,-11.305
1,81,1770626772082,-0.68953,6.02142,7.42203,6.545,14.175,-14.07
