ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
1,1,1770450069655,-0.06225,-0.10295,9.97424,-0.84,-0.805,-0.14
1,2,1770450069662,-0.06225,-0.10295,9.97424,0.14,-3.045,0.07
1,3,1770450069668,-0.06225,-0.10295,9.97424,0.21,-1.05,0.035
1,4,1770450069677,0.03112,-0.0814,9.77553,0.07,1.47,0
1,5,1770450069685,0.03112,-0.0814,9.77553,0.385,1.4,-0.07
1,6,1770450069693,0.03112,-0.0814,9.77553,0.525,-0.21,0.035
1,7,1770450069701,-0.03591,-0.06225,9.74201,-0.105,-0.735,0
1,8,1770450069709,-0.03591,-0.06225,9.74201,-0.56,-0.21,0.07
1,9,1770450069718,-0.0431,-0.06943,9.87369,-0.385,0.105,0.035
1,10,1770450069726,-0.0431,-0.06943,9.87369,0.49,-0.105,-0.035
1,11,1770450069734,0,-0.10295,9.73961,0.595,0.105,0.035
1,12,1770450069743,0,-0.10295,9.73961,-0.07,0.385,-0.035
1,13,1770450069752,0,-0.10295,9.73961,-0.175,0.07,0
1,14,1770450069759,-0.01676,-0.10534,9.84256,-0.07,-0.49,0.035
1,15,1770450069768,-0.01676,-0.10534,9.84256,0.105,-0.175,-0.07
1,16,1770450069776,-0.02394,-0.0814,9.81862,0.245,0.385,-0.07
1,17,1770450069785,-0.02394,-0.0814,9.81862,0.245,0.35,0.035
1,18,1770450069793,-0.02394,-0.0814,9.81862,0.105,-0.21,0.035
1,19,1770450069802,-0.03112,-0.08859,9.80186,-0.035,-0.42,0
1,20,1770450069809,-0.03112,-0.08859,9.80186,0.07,0.175,-0.07
1,21,1770450069818,-0.02873,-0.0838,9.8282,0.21,0.07,0.105
1,22,1770450069827,-0.02873,-0.0838,9.8282,0.175,-0.035,0.07
1,23,1770450069835,-0.05028,-0.07901,9.80665,0.035,0.07,0
1,24,1770450069842,-0.05028,-0.07901,9.80665,0,-0.07,-0.07
1,25,1770450069852,-0.05028,-0.07901,9.80665,0.07,-0.14,0
1,26,1770450069859,-0.04549,-0.09098,9.79947,0.07,-0.035,0
1,27,1770450069868,-0.04549,-0.09098,9.79947,0.175,0.035,0.035
1,28,1770450069877,-0.01915,-0.09337,9.77313,0.105,-0.07,0
1,29,1770450069885,-0.01915,-0.09337,9.77313,0,-0.07,0.035
1,30,1770450069893,-0.01915,-0.09337,9.77313,0.14,0.105,0
1,31,1770450069901,-0.00239,-0.07661,9.82102,0.14,0,-0.035
1,32,1770450069910,-0.00239,-0.07661,9.82102,0.07,0.035,-0.035
1,33,1770450069918,0.01437,-0.11492,9.79947,0.035,0.07,-0.035
1,34,1770450069926,0.01437,-0.11492,9.79947,-0.035,-0.21,-0.105
1,35,1770450069935,0.12929,-0.12929,9.85932,0.07,-0.315,0
1,36,1770450069943,0.12929,-0.12929,9.85932,0.07,0.14,0
1,37,1770450069951,0.12929,-0.12929,9.85932,0.315,0.84,-0.035
1,38,1770450069960,-0.09577,-0.0838,9.991,0.385,1.05,0.21
1,39,1770450069968,-0.09577,-0.0838,9.991,0.245,0.77,0.175
1,40,1770450069977,-0.25379,-0.01676,9.73961,-0.035,0.21,0.14
1,41,1770450069985,-0.25379,-0.01676,9.73961,-0.315,-0.315,0.07
1,42,1770450069993,-0.25379,-0.01676,9.73961,-0.245,-0.735,0.035
1,43,1770450070002,-0.12929,-0.09098,9.73482,0.455,-0.21,0.035
1,44,1770450070010,-0.12929,-0.09098,9.73482,0.525,-0.21,0
1,45,1770450070018,0.01437,-0.12929,9.78271,0.49,-0.28,-0.105
1,46,1770450070027,0.01437,-0.12929,9.78271,0.245,-0.21,-0.14
1,47,1770450070035,0.02634,-0.1221,9.84017,0.245,-0.175,-0.14
1,48,1770450070043,0.02634,-0.1221,9.84017,0.35,-0.105,-0.035
1,49,1770450070052,0.02634,-0.1221,9.84017,0.49,0.035,-0.035
1,50,1770450070060,-0.02155,-0.10295,9.83059,0.385,0.035,-0.07
1,51,1770450070068,-0.02155,-0.10295,9.83059,0.245,-0.245,-0.035
1,52,1770450070076,0.00718,-0.09577,9.77553,0.14,-0.42,-0.105
1,53,1770450070085,0.00718,-0.09577,9.77553,0.07,-0.105,-0.035
1,54,1770450070093,0.00718,-0.09577,9.77553,0.315,-0.035,-0.07
1,55,1770450070101,0.02155,-0.09577,9.83538,0.35,-0.105,-0.105
1,56,1770450070110,0.02155,-0.09577,9.83538,0.175,-0.245,-0.035
1,57,1770450070118,0.04549,-0.07661,9.81862,-0.07,-0.035,0
1,58,1770450070126,0.04549,-0.07661,9.81862,0.07,0.14,0.035
1,59,1770450070135,-0.00239,-0.0814,9.83538,0.175,0.105,0
1,60,1770450070143,-0.00239,-0.0814,9.83538,0.245,0.245,-0.035
1,61,1770450070151,-0.00239,-0.0814,9.83538,0.035,0.175,-0.035
1,62,1770450070160,-0.05507,-0.07901,9.8258,0,0,0.035
1,63,1770450070168,-0.05507,-0.07901,9.8258,0.035,-0.105,0.07
1,64,1770450070176,-0.05746,-0.05746,9.80904,0.035,0.035,0.07
1,65,1770450070184,-0.05746,-0.05746,9.80904,0.14,0.21,0.105
1,66,1770450070193,-0.05746,-0.05746,9.80904,0.175,0.105,0
1,67,1770450070202,-0.04549,-0.05267,9.79707,0.035,-0.035,0
1,68,1770450070210,-0.04549,-0.05267,9.79707,-0.14,-0.105,0.035
1,69,1770450070218,-0.0407,-0.11971,9.80665,0.07,0.035,0
1,70,1770450070227,-0.0407,-0.11971,9.80665,0.14,0.14,-0.07
1,71,1770450070234,-0.04549,-0.12929,9.80665,0.21,0.14,0.07
1,72,1770450070243,-0.04549,-0.12929,9.80665,0.175,0.07,0.07
1,73,1770450070251,-0.04549,-0.12929,9.80665,0.07,-0.175,0.07
1,74,1770450070259,0,-0.09577,9.81144,0.175,-0.14,0
1,75,1770450070271,0,-0.09577,9.81144,0.14,-0.105,0
1,76,1770450070279,-0.01676,-0.11971,9.79707,0.14,0.035,0.035
1,77,1770450070287,-0.01676,-0.11971,9.79707,0.175,0.07,-0.105
1,78,1770450070295,-0.07901,-0.09577,9.80904,0.14,0.105,-0.07
1,79,1770450070303,-0.07901,-0.09577,9.80904,0.175,0.07,-0.035
1,80,1770450070312,-0.07901,-0.09577,9.80904,0.175,-0.07,0.14
1,81,1770450070319,-0.0431,-0.08619,9.80426,0.105,-0.175,0
1,82,1770450070328,-0.0431,-0.08619,9.80426,0.07,-0.14,-0.035
